datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18
23.02.2025;Bundestagswahl;14713000;2239;2239;1;1;651;314;0;965;548;6;3;545;3;545;119;123;54;42;63;50;3;4;211;201;44;68;3;3;;6;6;4;;1;9;5;;4;1;0;0;1;32;33;0;;0;;;
23.02.2025;Bundestagswahl;14713000;2249;2249;1;1;754;430;0;1184;581;5;6;575;5;576;148;143;70;53;93;78;15;23;156;144;34;61;3;1;;7;6;1;;0;4;3;;0;0;2;2;1;42;59;0;;2;;;
23.02.2025;Bundestagswahl;14713000;2301;2301;1;1;605;196;0;801;448;6;1;447;2;446;161;154;51;50;109;88;6;12;61;63;11;16;4;4;;8;3;0;;0;3;0;;0;1;2;2;2;32;47;1;;2;;;
23.02.2025;Bundestagswahl;14713000;2311;2311;1;1;534;185;0;719;391;3;4;387;4;387;138;143;57;45;86;69;8;7;55;62;6;17;5;4;;2;3;1;;0;4;3;;0;3;1;1;2;20;31;1;;0;;;
23.02.2025;Bundestagswahl;14713000;2319;2319;1;1;674;165;0;839;433;0;3;430;6;427;144;143;57;51;107;94;4;7;61;66;11;15;2;2;;5;3;3;;0;3;1;;0;4;3;2;2;31;35;0;;1;;;
23.02.2025;Bundestagswahl;14713000;2321;2321;1;1;653;278;0;931;481;6;4;477;3;478;152;165;51;54;94;67;8;10;95;90;13;23;2;0;;6;4;6;;0;2;2;;0;0;0;2;3;51;52;2;;1;;;
23.02.2025;Bundestagswahl;14713000;2322;2322;1;1;614;225;0;839;478;2;4;474;3;475;180;183;48;49;112;78;3;16;56;57;26;35;6;3;;6;7;3;;0;2;1;;0;0;0;0;1;33;43;0;;1;;;
23.02.2025;Bundestagswahl;14713000;2330;2330;1;1;514;255;0;769;402;6;0;402;2;400;151;149;43;41;82;66;3;11;66;68;27;25;1;3;;9;3;2;;0;0;1;;0;0;0;4;2;21;23;1;;0;;;
23.02.2025;Bundestagswahl;14713000;2339;2339;1;1;769;262;0;1031;545;3;3;542;3;542;152;158;57;53;101;76;9;10;119;119;40;55;5;7;;9;10;3;;1;2;4;;0;3;2;3;1;39;44;0;;2;;;
23.02.2025;Bundestagswahl;14713000;2340;2340;1;1;774;309;0;1083;529;5;7;522;5;524;154;157;47;38;56;48;7;15;172;159;34;50;8;5;;7;5;8;;2;6;7;;0;1;0;0;0;29;28;1;;2;;;
23.02.2025;Bundestagswahl;14713000;2401;2401;1;1;677;164;0;841;468;1;2;466;6;462;206;201;47;47;96;77;5;9;55;59;10;14;6;2;;4;3;4;;2;2;2;;0;0;1;1;1;34;39;1;;0;;;
23.02.2025;Bundestagswahl;14713000;2402;2402;1;1;641;269;0;910;533;3;3;530;3;530;192;191;55;59;150;109;15;28;43;48;15;24;9;10;;2;2;0;;0;3;2;;1;2;0;2;1;41;55;0;;1;;;
23.02.2025;Bundestagswahl;14713000;2409;2409;1;1;766;149;0;915;556;0;5;551;5;551;234;233;49;58;107;87;6;13;77;67;11;15;5;2;;10;5;5;;1;2;1;;0;3;2;0;2;48;55;0;;4;;;
23.02.2025;Bundestagswahl;14713000;2411;2411;1;1;841;194;0;1035;503;2;6;497;6;497;221;229;42;45;104;78;13;22;62;52;6;13;6;3;;5;4;2;;1;6;4;;0;0;1;1;1;32;41;0;;0;;;
23.02.2025;Bundestagswahl;14713000;2420;2420;1;1;750;138;0;888;443;4;9;434;9;434;204;202;44;45;85;59;4;7;37;41;8;13;2;2;;3;4;4;;2;2;2;;0;2;0;0;1;41;53;0;;1;;;
23.02.2025;Bundestagswahl;14713000;2439;2439;1;1;704;198;0;902;426;3;8;418;9;417;172;172;47;46;95;79;2;4;59;56;10;10;6;4;;6;4;6;;0;2;2;;0;1;2;1;1;18;29;1;;0;;;
23.02.2025;Bundestagswahl;14713000;2449;2449;1;1;759;202;0;961;446;1;2;444;5;441;208;202;35;39;87;71;6;10;44;46;10;11;4;3;;10;8;4;;3;0;0;;0;1;2;0;0;40;40;0;;1;;;
23.02.2025;Bundestagswahl;14713000;2459;2459;1;1;924;188;0;1112;530;0;8;522;7;523;239;235;50;51;88;69;9;14;71;75;14;17;5;6;;9;6;2;;2;8;6;;4;0;0;2;1;27;32;1;;2;;;
23.02.2025;Bundestagswahl;14713000;2471;2471;1;1;659;157;0;816;481;3;5;476;4;477;174;176;42;38;92;73;8;12;81;85;20;23;4;4;;10;6;3;;0;7;4;;0;2;0;1;1;38;48;1;;0;;;
23.02.2025;Bundestagswahl;14713000;2472;2472;1;1;537;109;0;646;391;3;1;390;2;389;172;174;36;28;64;49;7;7;66;68;15;26;4;4;;4;4;2;;1;0;0;;1;2;0;2;2;16;23;2;;0;;;
23.02.2025;Bundestagswahl;14713000;2489;2489;1;1;737;281;0;1018;496;7;1;495;1;495;209;211;36;37;131;91;10;15;52;48;8;21;6;4;;9;3;1;;1;0;1;;0;0;0;0;0;40;56;0;;0;;;
23.02.2025;Bundestagswahl;14713000;2509;2509;1;1;737;276;0;1013;647;1;5;642;5;642;198;199;70;73;217;187;13;22;68;70;19;28;7;4;;3;4;2;;0;1;1;;1;0;0;2;1;42;51;1;;0;;;
23.02.2025;Bundestagswahl;14713000;2511;2511;1;1;862;204;0;1066;707;1;8;699;8;699;254;264;74;70;191;154;21;27;64;77;25;21;5;7;;10;8;6;;1;2;4;;0;1;0;3;0;51;58;0;;0;;;
23.02.2025;Bundestagswahl;14713000;2512;2512;1;1;743;212;0;955;593;2;5;588;5;588;215;218;60;65;173;131;10;30;61;57;5;11;8;8;;2;3;1;;0;0;0;;0;0;0;0;0;53;65;0;;0;;;
23.02.2025;Bundestagswahl;14713000;2601;2601;1;1;648;306;0;954;505;6;2;503;2;503;187;199;47;53;123;88;12;14;70;69;15;27;5;2;;6;6;3;;1;6;3;;0;0;0;0;0;32;38;0;;0;;;
23.02.2025;Bundestagswahl;14713000;2602;2602;1;1;644;320;0;964;505;0;4;501;4;501;157;169;60;62;164;136;14;13;48;48;10;14;5;4;;4;1;0;;4;2;2;;0;0;0;0;0;39;45;0;;1;;;
23.02.2025;Bundestagswahl;14713000;2610;2610;1;1;595;357;0;952;522;5;3;519;1;521;168;172;49;53;178;142;14;24;38;40;35;43;8;5;;4;2;3;;0;3;4;;1;0;0;0;0;24;30;0;;0;;;
23.02.2025;Bundestagswahl;14713000;2621;2621;1;1;603;391;0;994;516;2;3;513;3;513;150;153;50;50;166;141;21;24;45;43;19;35;11;5;;3;4;2;;0;3;3;;1;0;0;0;0;43;53;0;;1;;;
23.02.2025;Bundestagswahl;14713000;2629;2629;1;1;605;319;0;924;492;3;2;490;3;489;147;155;62;57;135;106;8;10;49;57;32;48;6;7;;1;3;2;;0;5;3;;0;1;1;0;1;41;41;1;;0;;;
23.02.2025;Bundestagswahl;14713000;2701;2701;1;1;769;268;0;1037;649;2;5;644;3;646;230;233;59;55;201;172;18;26;53;68;18;17;8;7;;5;2;0;;1;2;2;;1;0;0;1;1;49;58;2;;1;;;
23.02.2025;Bundestagswahl;14713000;2702;2702;1;1;705;322;0;1027;600;5;4;596;4;596;184;186;64;65;201;159;23;34;58;64;12;29;8;4;;3;5;4;;0;3;3;;0;0;0;0;0;37;45;1;;0;;;
23.02.2025;Bundestagswahl;14713000;2709;2709;1;1;775;203;0;978;544;3;3;541;2;542;198;197;56;51;139;113;6;9;56;57;15;23;15;7;;11;1;3;;0;3;2;;0;0;0;3;4;47;65;1;;1;;;
23.02.2025;Bundestagswahl;14713000;2711;2711;1;1;887;318;0;1205;653;2;5;648;5;648;272;266;52;46;169;138;21;24;52;65;19;30;8;10;;7;8;6;;2;1;3;;1;0;0;3;2;41;48;1;;1;;;
23.02.2025;Bundestagswahl;14713000;2712;2712;1;1;812;293;0;1105;703;1;8;695;7;696;243;257;68;75;224;174;16;20;42;44;19;31;12;12;;6;5;2;;1;3;3;;0;0;0;1;1;62;70;0;;0;;;
